Id,Title,CCLI,Themes,Notes,Last Scheduled Date,Genre,Mood,Purpose,Themes,Arrangement 1 Name,Arrangement 1 BPM,Arrangement 1 Length,Arrangement 1 Notes,Arrangement 1 Keys,Arrangement 2 Name,Arrangement 2 BPM,Arrangement 2 Length,Arrangement 2 Notes,Arrangement 2 Keys
13275467,G025 - God Is Here,6454669,"","","February 19, 2017",Contemporary,Celebratory,Call to Worship,God's Presence & Intimacy,Default Arrangement,121,0,"",D: Michelle,,,,
13717505,G026 - Grace To Grace,7057218,"","","August 13, 2017",Contemporary,Declarative,"","Jesus' Life, Death, & Resurrection, Our Testimony & Redemption",G026 - Grace To Grace,121,0,Psalm 107:10-14; 2 Corinthians 3:17,"F: F, E: Michelle's Key",,,,
12603391,H001 - Hallelujah (Your love is amazing),3091812,"","",,Contemporary,Celebratory,"",God's Love & as Father,Default Arrangement,,0,"",G,,,,
12603405,H002 - Happy Day,4847027,"","","August 06, 2017",Contemporary,Celebratory,"","Jesus' Life, Death, & Resurrection",H002 - Happy Day,139,0,"","C, G: Michelle's Key",,,,
12603424,H003 - He Is Exalted,17827,"","","October 23, 2016",Contemporary,Declarative,"","God's Greatness, Power, Glory",Default Arrangement,,0,"",E,,,,
12603438,H004 - He Knows My Name,2151368,"","",,Contemporary,Reflection & Prayer,"","God's Love & as Father, God's Presence & Intimacy",Default Arrangement,,0,"",E,,,,
12788217,H005 - Hallelujah (Our God Reigns),4710484,"","","May 28, 2017",Contemporary,Declarative,"",God's Kingdom & Reign,Default Arrangement,153,0,"","G, A, F",,,,
12603473,H006 - Healer,4873981,"","","August 27, 2017",Contemporary,Desperation & Dependence,"","Freedom, Hope",H006 - Healer,154,0,"","A, G, E, D",,,,
12614450,H007 - Healing,,"","",,Contemporary,Desperation & Dependence,"","Holiness & Purity, Repentance",Default Arrangement,,0,"",A,,,,
12614522,H008 - Hear Our Praises,2543402,"","",,Contemporary,Declarative,Call to Worship,Thankfulness & Adoration,Default Arrangement,,0,"",C,,,,
12614878,H009 - The Heart Of Worship,2296522,"","","June 02, 2017",Contemporary,Reflection & Prayer,"","Commitment & Dedication, Holiness & Purity",Default Arrangement,,0,"","D, C, E",,,,
12614985,H010 - Heaven And Earth,7019977,"","",,Contemporary,Declarative,"","Freedom, Jesus' Life, Death, & Resurrection",Default Arrangement,,0,"","E, D",,,,
12615179,H011 - Here For You,5925649,"","","August 13, 2017",Contemporary,Declarative,Call to Worship,God's Presence & Intimacy,H011 - Here For You,170,0,"",B,,,,
12615296,H012 - Here I Am To Worship,3266032,"","","August 28, 2017",Contemporary,Adoration,Call to Worship,"Commitment & Dedication, Thankfulness & Adoration",H012 - Here I Am To Worship,144,0,"","E, F, D",I love the King (tag),132,0,"","E, F"
12616142,H013 - Here In My Life,4869885,"","",,Contemporary,Desperation & Dependence,"",Our Testimony & Redemption,Default Arrangement,,0,"",B,,,,
12616182,H014 - Here In Your Presence,4882707,"","","May 31, 2017",Contemporary,Reflection & Prayer,"",God's Presence & Intimacy,Default Arrangement,,0,"","C, G",,,,
12616211,H015 - Here Is Our King,4490962,"","","December 18, 2016",Contemporary,Celebratory,Call to Worship,"God's Greatness, Power, Glory, God's Kingdom & Reign",H015 - Here Is Our King,125,0,"",G,,,,
12621670,H016 - Here's My Heart,6517898,"","",,Contemporary,Desperation & Dependence,"","Commitment & Dedication, Surrender",H016 - Here's My Heart,81,0,"",A,,,,
12621728,H017 - His Banner Over Me,768097,"","","March 09, 2017",Contemporary,Celebratory,"","Church & Unity, God's Love & as Father",Default Arrangement,110,0,"",G,,,,
12621746,H018 - Holy And Anointed One,164361,"","","July 20, 2017",Contemporary,Adoration,"","God's Presence & Intimacy, Thankfulness & Adoration",Default Arrangement,,0,"","G, D",,,,
12621776,H019 - Holy Fire,2489580,"","","June 01, 2017",Contemporary,Reflection & Prayer,"","God's Faithfulness, God's Presence & Intimacy",Default Arrangement,,0,"","D, A",,,,
12621806,H020 - Holy Holy Holy Lord God Almighty,1156,"","","August 06, 2017",Traditional,"",Offering,"God's Greatness, Power, Glory",Default Arrangement,110,0,"","C, A",H020 - Holy Holy Holy Lord God Almighty,152,0,"",A
12603487,H021 - Holy Is The Lord,4158039,"","",,"","","","",Default Arrangement,,0,"",G,,,,
